dataset,seed,method,method_key,ACC_old,ACC_new,ACC_overall,Balanced_ACC
math1,42,X-DER,X-DER,0.7272727272727273,0.7580454928390902,0.7381206937514849,0.7365045569426361
math1,42,Full Replay Oracle,Full-Replay,0.7224107880011008,0.749452401010952,0.7319434545022571,0.7305232719040561
math1,42,C-LoRA-GNCDM,C-LoRA-GNCDM,0.6532428217594716,0.7192923336141533,0.6765264908529341,0.673057675315876
math1,42,ICD,ICD,0.686175580221998,0.7110362257792755,0.6949394155381325,0.6936337738891812
math1,42,CLEAN-Full,CLEAN-Full,0.7252545638014861,0.7246840775063185,0.7250534568781183,0.7250834179129357
math1,42,CLEAN-LoRA,CLEAN-LoRA,0.7252545638014861,0.6741364785172704,0.7072344975053457,0.7099191382162213
math1,84,G-NCDM,G-NCDM(Anchor),0.7149802770388037,,0.7149802770388037,
math1,84,EWC,EWC,0.6780111916337951,0.7317607413647852,0.6969588976003801,0.6941360565530921
math1,84,DER++,DER++,0.722502522704339,0.7531592249368155,0.7333095747208364,0.7316995333740819
math1,84,C-LoRA,C-LoRA,0.6880102742867626,0.7226621735467565,0.7002257068187218,0.6984058440647608
math1,84,X-DER,X-DER,0.7233281350334831,0.7550126368997473,0.7344975053456878,0.7328334855933623
math1,84,Full Replay Oracle,Full-Replay,0.7168149711035685,0.7563605728727886,0.7307555238774056,0.7286786516343344
math1,84,C-LoRA-GNCDM,C-LoRA-GNCDM,0.606182918998257,0.7167649536647009,0.6451651223568544,0.6393575293981902
math1,84,ICD,ICD,0.686175580221998,0.7110362257792755,0.6949394155381325,0.6936337738891812
math1,84,CLEAN-Full,CLEAN-Full,0.7149802770388037,0.7590564448188711,0.7305179377524352,0.7282031273728239
math1,84,CLEAN-LoRA,CLEAN-LoRA,0.7149802770388037,0.7027801179443977,0.7106794963174151,0.7113202293104819
math1,2,G-NCDM,G-NCDM(Anchor),0.7180992569489038,,0.7180992569489038,
math1,2,EWC,EWC,0.6875516007705715,0.719966301600674,0.6989783796626277,0.6972760110196022
math1,2,DER++,DER++,0.7143381341161361,0.7572030328559394,0.7294488001900689,0.7271976037380771
